song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP0001,Space executive series.,Sydney Clark,What.,Electronic,08/11/97,282,42,35055874,English,Yes,Def Jam,Amy Hatfield,Jeffrey Weaver,
SP0002,Price last painting.,Connor Peters DDS,Nature politics.,Electronic,10/05/15,127,50,9249527,English,Yes,Universal Music,Jason Gregory,Kenneth White,
SP0003,Piece.,Anna Keith,Visit.,Pop,08/07/24,,10,76669110,English,Yes,Universal Music,Rachel Lopez,Jason Barnes,
SP0004,Power industry your.,Zachary Simpson,Behavior evening.,Hip-Hop,15/08/22,214,86,34732016,English,No,Sony Music,Thomas Li,Mrs. Becky Palmer,
SP0005,Food animal second.,Christopher Mcgee,Front.,Pop,05/03/23,273,63,96649372,English,Yes,Def Jam,Adam Wagner,Beverly Baker,
SP0006,Whatever Mr send.,Nathan King,Various experience.,Folk,29/11/15,312,74,82613530,,Yes,Indie,Brad Hicks,John Brown,
SP0007,Each leg.,Joshua Santos,Determine.,Hip-Hop,16/03/96,336,49,88337653,Japanese,No,Def Jam,Henry Willis,William Smith,
SP0008,Person then enjoy.,Leonard Brown,Sense lot.,Hip-Hop,14/08/17,237,9,95988275,English,No,Atlantic Records,Keith Horton,Justin Gonzalez,
SP0009,Poor.,William Ford,Organization.,Pop,28/02/02,,74,67287444,Spanish,No,Warner Music,James Roth,Jeffrey Perry,
SP0010,East husband.,Susan Harrell,List item.,Electronic,06/12/16,216,2,48726791,English,Yes,Warner Music,Maria Castro,Justin Grant,
SP0011,Mother building well.,Shannon Moore,Process if.,Electronic,12/11/02,161,81,77988216,English,No,Universal Music,Barbara Castaneda,Michael Williams,Michael Ingram
SP0012,Pattern personal tree.,Kenneth Lee,Police customer.,R&B,01/08/03,345,88,32428546,English,Yes,Def Jam,Lauren Martinez,Timothy Shelton,
SP0013,Possible whatever continue special.,George Thomas,We summer.,Folk,05/09/08,131,73,73155234,English,No,Def Jam,Brian Wise Jr.,Susan Waters,
SP0014,Floor someone minute.,Christopher Torres,Few control.,Pop,04/06/08,,62,7384310,English,Yes,Universal Music,Bruce Bonilla,Brandon Smith,
SP0015,Various director cell.,Richard Edwards,Doctor.,Hip-Hop,01/06/04,237,29,40215039,English,No,Atlantic Records,Nicholas Reese,Michelle Gordon,
SP0016,Season available lot.,Diane Hall,Project and.,Jazz,05/02/11,231,83,82785276,English,Yes,Def Jam,Melissa Clark,Brittany Smith,
SP0017,Along new.,Victoria Morris,With small.,Electronic,30/06/09,230,58,21609743,English,Yes,Universal Music,Daniel George,Daniel Robertson,
SP0018,Large stock buy oil.,Holly Mitchell,Management artist.,Electronic,24/03/10,280,85,90028790,English,Yes,Sony Music,Kristin Martinez,Theresa Calhoun,Christopher Ramirez
SP0019,Computer professor score.,Rachel Hernandez,Major ahead.,Classical,06/07/96,129,57,81831229,Spanish,Yes,Warner Music,Jessica Donaldson,David Brooks,
SP0020,Site difference.,Natalie Silva,Exist game.,Pop,14/06/10,314,88,30447360,English,No,Def Jam,Michael Jones,Bryan Shepherd,
SP0021,Country real.,Kimberly Bernard,Success investment.,Pop,03/10/96,173,94,98263763,Japanese,No,Sony Music,Peter Griffith,Helen Sims,Joseph Weaver
SP0022,Friend material rather.,Joshua Petty,Across.,Hip-Hop,30/12/21,293,63,27983825,English,No,Warner Music,Jill Wu,Alexandria Johnson,
SP0023,Matter class specific.,Suzanne Singh,Leave.,Hip-Hop,15/11/14,256,42,97729744,English,Yes,Def Jam,Stephen Lewis,Francisco Brandt,
SP0024,Not start.,Alison Douglas,Trip international.,Electronic,18/06/23,173,80,429348,English,Yes,Sony Music,Susan Montoya,Matthew Anderson,Samantha Shepherd
SP0025,Consumer.,Patrick Bass,Again.,Pop,08/02/16,273,43,88413255,English,Yes,Sony Music,Ashley Rivera,Jennifer Mcgee PhD,Chad Jones
SP0026,Successful.,Candace Conley,Response.,Pop,01/05/98,312,36,50013515,English,No,Sony Music,Gregory George,Valerie Mckinney DVM,
SP0027,Boy red.,Jennifer Matthews,Year hard.,Jazz,12/07/12,186,38,70985364,English,No,Indie,Heather Ortiz,Michelle Rivera,Angelica Hernandez
SP0028,Meeting summer else.,Sylvia Wagner MD,Chair.,Electronic,02/03/95,271,90,83124231,English,Yes,Indie,Michael Lee,David Bradley,
SP0029,Take gas.,Samantha Smith,Eight join.,Jazz,21/05/24,274,14,73417622,English,Yes,Indie,Connie Johnson,Sarah Doyle,
SP0030,Would director good.,Kimberly Stephenson,School.,R&B,01/09/11,323,80,95176650,English,Yes,Indie,Steven Travis,Miguel Brown,
SP0031,Edge yes.,Mr. Thomas Mullins PhD,Determine.,Country,24/11/08,188,75,75780954,German,No,Atlantic Records,Kevin Jennings,Sean Harrell,Jerry Wilson
SP0032,Beautiful success along.,Nicole Clark,Third wonder.,Hip-Hop,02/07/00,211,82,90437409,English,No,Universal Music,Teresa Crane,David Brown,
